epoch,train_loss,train_accuracy(%),val_loss,val_accuracy(%)
1,3.593229091685751,4.925271739130435,3.456938349682352,6.793478260869565
2,3.463667120622552,7.336956521739131,3.3991037451702617,9.646739130434783
3,3.3944073449010435,8.695652173913043,3.3609832577083423,9.646739130434783
4,3.347149426522462,10.190217391304348,3.361963821494061,9.103260869565217
5,3.2912133025086443,11.209239130434783,3.3056278539740522,10.190217391304348
6,3.2567369445510534,12.058423913043478,3.2771356209464697,11.548913043478262
7,3.198883165483889,12.771739130434783,3.256751433662746,11.141304347826088
8,3.171957438406737,14.300271739130435,3.167973051900449,13.722826086956522
9,3.131465497224227,14.605978260869565,3.2600128339684527,12.5
10,3.0754556811374165,15.591032608695652,3.286516469457875,9.918478260869565
11,3.0321249495381895,17.730978260869566,3.1489179963650913,12.63586956521739
12,3.010642461154772,17.96875,3.0251503820004673,17.527173913043477
13,2.9492005939069004,19.39538043478261,3.081141637719196,15.76086956521739
14,2.930205764977828,19.70108695652174,2.984135679576708,19.293478260869566
15,2.8937768391940906,19.565217391304348,2.944039075270943,19.565217391304348
16,2.8910982919775923,20.00679347826087,2.9327244758605957,19.02173913043478
17,2.8350970252700476,21.70516304347826,2.91845935323964,19.565217391304348
18,2.807546294253805,22.18070652173913,3.019025305043096,18.342391304347824
19,2.797079493170199,21.73913043478261,3.1801012806270434,14.130434782608695
20,2.7542860041493955,24.184782608695652,2.8496668857076894,22.554347826086957
21,2.7340167916339375,24.252717391304348,3.1516048389932383,15.48913043478261
22,2.6845769856287087,24.286684782608695,2.795201882072117,24.184782608695652
23,2.6621162787727686,25.101902173913043,2.7950930906378706,22.690217391304348
24,2.632959376210752,25.237771739130434,3.0606065314749014,17.66304347826087
25,2.6159872905067774,25.78125,2.8225565060325293,22.96195652173913
26,2.5798165513121565,26.800271739130434,2.6894542652627695,26.222826086956523
27,2.574902972449427,26.630434782608695,3.1120672018631645,18.75
28,2.53275846398395,29.008152173913043,2.897522325101106,20.244565217391305
29,2.5320502079051472,29.07608695652174,2.655340630075206,26.494565217391305
30,2.4843172949293386,29.483695652173914,2.6017459371815557,27.85326086956522
31,2.4881457738254382,29.449728260869566,2.616965542668882,27.17391304347826
32,2.452746279861616,30.94429347826087,2.6416552170463232,27.85326086956522
33,2.4119910481183426,31.11413043478261,2.6787946224212646,23.233695652173914
34,2.37955713790396,32.30298913043478,2.511796070181805,28.39673913043478
35,2.4093206654424253,31.623641304347824,2.788961970287821,23.641304347826086
36,2.372733051362245,31.997282608695652,2.6428118892337964,27.445652173913043
37,2.344126286713973,32.50679347826087,2.4947054178818413,27.309782608695652
38,2.324236265991045,34.40896739130435,2.564263696255891,29.07608695652174
39,2.3316526231558425,34.00135869565217,2.785040171250053,24.592391304347824
40,2.279938886994901,35.869565217391305,2.4778046452480815,27.17391304347826
41,2.2908373267754265,33.661684782608695,3.0018479409425156,19.293478260869566
42,2.2599642782107643,35.869565217391305,2.524324593336686,28.668478260869566
43,2.2294513660928477,36.71875,2.514419918474944,28.125
44,2.229683977106343,35.97146739130435,2.570649592772774,27.309782608695652
45,2.2093918129153876,37.33016304347826,2.452723466831705,30.29891304347826
46,2.2093548567398735,36.24320652173913,2.5468557399252187,29.619565217391305
47,2.186277363611304,36.650815217391305,2.744061459665713,24.04891304347826
48,2.212497757828754,36.48097826086956,2.395001468451127,30.16304347826087
49,2.137505427650783,38.82472826086956,2.458574377972147,30.16304347826087
50,2.158143443905789,37.296195652173914,2.5052238961924678,30.29891304347826
51,2.128763814335284,38.96059782608695,2.37192426038825,31.793478260869566
52,2.1197469960088315,38.96059782608695,2.2987938186396724,35.19021739130435
53,2.0917636713256007,39.130434782608695,2.3483791247658106,34.64673913043478
54,2.0815149636372277,40.48913043478261,2.4196557221205337,30.842391304347824
55,2.0817408820857173,40.14945652173913,2.618753811587458,26.358695652173914
56,2.08513252761053,39.67391304347826,2.450870192569235,30.842391304347824
57,2.0596462008745773,40.18342391304348,2.4221393077269844,32.47282608695652
58,2.0423572750195214,40.692934782608695,2.390853897384975,32.20108695652174
59,2.0396683954674266,41.202445652173914,2.2476814570634263,36.41304347826087
60,2.015184136836425,41.10054347826087,2.3086604450059975,36.54891304347826
61,2.0190016342246015,40.72690217391305,2.4437398340391074,30.027173913043477
62,1.9813970184844474,41.91576086956522,2.3694883636806323,33.016304347826086
63,1.9842388707658518,42.764945652173914,2.4557316821554434,33.15217391304348
64,1.9593865443830905,42.45923913043478,2.339594301970109,34.78260869565217
65,1.9431779203207598,43.71603260869565,2.2479738619016563,34.91847826086956
66,1.9467429596444834,41.88179347826087,2.331953245660533,33.55978260869565
67,1.9668675803619882,42.05163043478261,2.1778967795164688,38.858695652173914
68,1.9159022673316624,44.02173913043478,2.222570839135543,36.68478260869565
69,1.900252173776212,44.90489130434783,2.344019988308782,34.10326086956522
70,1.910945511382559,44.49728260869565,2.275473423626112,35.05434782608695
71,1.9116499320320461,44.22554347826087,2.2745097098143203,34.375
72,1.8828646320363749,44.49728260869565,2.4542491591495015,34.10326086956522
73,1.849431846452796,44.80298913043478,2.162768120351045,38.45108695652174
74,1.8895799802697224,45.17663043478261,2.176381821217744,37.63586956521739
75,1.867521064436954,44.90489130434783,2.1603590664656265,36.41304347826087
76,1.8494829379993936,45.78804347826087,2.2708949576253477,35.19021739130435
77,1.8288231181061787,46.84103260869565,2.1376808518948764,38.04347826086956
78,1.7999349871407384,48.09782608695652,2.266040781269903,33.83152173913044
79,1.8161437459613965,46.807065217391305,2.3697379153707754,34.23913043478261
80,1.7998837012311686,46.56929347826087,2.259313225746155,35.59782608695652
81,1.7889796495437622,46.33152173913044,2.2749702826790186,34.23913043478261
82,1.7947455631650013,48.233695652173914,2.175360187240269,38.858695652173914
83,1.7968120004819788,45.65217391304348,2.237547843352608,34.91847826086956
84,1.7857352236042852,47.01086956521739,2.6381768558336343,29.755434782608695
85,1.7561623194943303,47.69021739130435,2.4697174455808555,32.880434782608695
86,1.7751193344593048,47.18070652173913,2.2545392305954643,36.41304347826087
87,1.742129984109298,48.53940217391305,2.3004517555236816,35.05434782608695
88,1.7408258150453153,48.67527173913044,2.126036799472311,40.21739130434783
89,1.7333640145218892,48.67527173913044,2.1323863164238306,38.858695652173914
90,1.7430810552576315,47.52038043478261,2.096637673999952,39.53804347826087
91,1.730730978043183,48.4375,2.1918727625971255,38.858695652173914
92,1.6930919289588928,49.72826086956522,2.151376294053119,38.31521739130435
93,1.666361946126689,50.27173913043478,2.1996942654899927,36.82065217391305
94,1.675160112588302,48.70923913043478,2.20821998430335,38.04347826086956
95,1.6698953405670498,49.76222826086956,2.3407983572586724,35.19021739130435
96,1.6689908517443615,51.25679347826087,2.2230903635854307,37.77173913043478
97,1.6719873625299204,50.27173913043478,2.2675201219061147,37.22826086956522
98,1.5981499487939088,52.24184782608695,2.044012391048929,42.391304347826086
99,1.6906303387621175,49.014945652173914,2.1650600122368853,39.130434782608695
100,1.6425138815589573,51.22282608695652,2.273331072019494,34.91847826086956
101,1.6270458335461824,51.52853260869565,2.30696425748908,35.869565217391305
102,1.6108709107274595,50.91711956521739,2.1069191331448764,40.48913043478261
103,1.6103470986304076,52.00407608695652,2.3670732664025347,32.47282608695652
104,1.6173941130223481,51.08695652173913,2.094430016434711,41.16847826086956
105,1.6000470493150794,52.07201086956522,2.060364059779955,41.30434782608695
106,1.606685476458591,52.20788043478261,1.9589135180348936,44.02173913043478
107,1.5738867987757144,53.29483695652174,2.0205289643743765,41.84782608695652
108,1.5823797926954601,53.60054347826087,2.0911810553592183,41.983695652173914
